```csv
Тип техники,Подтип,Основные характеристики,Вездеходность,Дополнительные опции
Самосвал,3-осный (6x4),"Грузоподъёмность: 15–20 т, объём кузова: 10–15 м³, мощность: 300–400 л.с.",Нет,"Подогрев кузова, трёхсторонняя выгрузка, телематика, усиленные шины"
Самосвал,4-осный (8x4),"Грузоподъёмность: 20–30 т, объём кузова: 15–20 м³, мощность: 350–450 л.с.",Нет,"Подогрев кузова, GPS, кабина с климат-контролем, усиленная рама"
Самосвал,Сочленённый (30 т),"Грузоподъёмность: 30 т, объём кузова: 18 м³, оси: 6x6, мощность: 400 л.с.",Да,"Полный привод, система пылеподавления, телематика"
Самосвал,Карьерный (90 т),"Грузоподъёмность: 90 т, объём кузова: 50 м³, мощность: 1000 л.с.",Да,"Усиленные шины, автоматизация, телематика, кабина ROPS/FOPS"
Автокран (колёсный),16 т,"Грузоподъёмность: 16 т (вылет 3 м), стрела: 18 м, высота подъёма: 20 м (с гуськом 28 м), секций: 4",Нет,"Гусёк (8 м, до 300 кг), противовесы (1–3 т), система ОНК-140, камера безопасности"
Автокран (колёсный),25 т (короткая стрела),"Грузоподъёмность: 25 т (вылет 3 м), стрела: 28 м, высота подъёма: 30 м (с гуськом 38 м), секций: 4",Нет,"Гусёк (9 м, до 400 кг), противовесы (1–5.5 т), система ОНК-160, телематика"
Автокран (колёсный),25 т (длинная стрела),"Грузоподъёмность: 25 т (вылет 3 м), стрела: 41 м, высота подъёма: 42 м (с гуськом 50 м), секций: 5",Нет,"Гусёк (9 м, до 350 кг), противовесы (1–5.5 т), овоидная стрела, LED-подсветка"
Автокран (колёсный),32 т (короткая стрела),"Грузоподъёмность: 32 т (вылет 3 м), стрела: 30.2 м, высота подъёма: 32 м (с гуськом 40 м), секций: 4",Нет,"Гусёк (9 м, до 500 кг), противовесы (1–6 т), система ОНК-160, кабина с обогревом"
Автокран (колёсный),32 т (длинная стрела),"Грузоподъёмность: 32 т (вылет 3 м), стрела: 42 м, высота подъёма: 43 м (с гуськом 50 м), секций: 5",Нет,"Гусёк (9 м, до 450 кг), противовесы (1–6.4 т), овоидная стрела, телематика"
Автокран (колёсный),50 т,"Грузоподъёмность: 50 т (вылет 3 м), стрела: 44.5 м, высота подъёма: 46 м (с гуськом 62 м), секций: 5",Нет,"Гусёк (16 м, до 600 кг), противовесы (1–10 т), система LMI, камера 360°"
Автокран (колёсный),70 т,"Грузоподъёмность: 70 т (вылет 3 м), стрела: 50 м, высота подъёма: 52 м (с гуськом 68 м), секций: 5",Нет,"Гусёк (16 м, до 700 кг), противовесы (1–12 т), овоидная стрела, телематика"
Автокран (колёсный),100 т,"Грузоподъёмность: 100 т (вылет 3 м), стрела: 60 м, высота подъёма: 62 м (с гуськом 80 м), секций: 6",Нет,"Гусёк (18 м, до 800 кг), противовесы (1–20 т), система LMI, LED-подсветка"
Автокран (колёсный),150 т,"Грузоподъёмность: 150 т (вылет 3 м), стрела: 70 м, высота подъёма: 72 м (с гуськом 90 м), секций: 6",Нет,"Гусёк (20 м, до 1000 кг), противовесы (1 Chichester30 т), автоматизация, камера 360°"
Автокран (колёсный),200 т,"Грузоподъёмность: 200 т (вылет 3 м), стрела: 80 м, высота подъёма: 82 м (с гуськом 100 м), секций: 7",Нет,"Гусёк (22 м, до 1200 кг), противовесы (1–40 т), телематика, дистанционное управление"
Каток,Грунтовой (12 т),"Вес: 12 т, ширина вальца: 2.1 м, мощность: 130 л.с.",Да,"Вибрационная система, система орошения, кабина с обогревом, датчики уплотнения"
Каток,Асфальтовый тандемный (8 т),"Вес: 8 т, ширина вальца: 1.7 м, мощность: 90 л.с.",Нет,"Регулируемая вибрация, система орошения, камера заднего вида, климат-контроль"
Каток,Пневмоколёсный (15 т),"Вес: 15 т, ширина шин: 2.3 м, мощность: 120 л.с.",Нет,"Балластные пакеты, система орошения, кабина с обогревом, телематика"
Экскаватор (гусеничный, полноповоротный),Мини (2 т),"Вес: 2 т, ковш: 0.05 м³, глубина копания: 2.5 м, мощность: 20 л.с.",Да,"Гидромолот (150 Дж), узкий ковш, камера заднего вида, резиновые гусеницы"
Экскаватор (гусеничный, полноповоротный),Средний (20 т),"Вес: 20 т, ковш: 0.9 м³, глубина копания: 6.5 м, мощность: 150 л.с.",Да,"Гидромолот (1200 Дж), грейфер, удлинённая стрела (+2 м), GPS, кабина ROPS/FOPS"
Экскаватор (гусеничный, полноповоротный),Тяжёлый (50 т),"Вес: 50 т, ковш: 2.5 м³, глубина копания: 8 м, мощность: 300 л.с.",Да,"Гидромолот (4000 Дж), ковш увеличенного объёма (+0.5 м³), камера 360°, телематика"
Экскаватор (гусеничный, полноповоротный),Карьерный (120 т),"Вес: 120 т, ковш: 6.5 м³, глубина копания: 10 м, мощность: 500 л.с.",Да,"Усиленные гусеницы, грейфер (3 м³), система пылеподавления, автоматизация"
Экскаватор (колёсный, полноповоротный),Средний (15 т),"Вес: 15 т, ковш: 0.6 м³, глубина копания: 5 м, мощность: 120 л.с.",Нет,"Гидромолот (800 Дж), грейфер, быстросъёмное соединение, камера заднего вида"
Экскаватор (неполноповоротный),Экскаватор-погрузчик (8 т),"Вес: 8 т, фронтальный ковш: 1 м³, задний ковш: 0.2 м³, глубина копания: 4.5 м",Нет,"Гидромолот, вилы, удлинённая стрела, кабина с климат-контролем"
Трал (низкорамный),2-осный,"Грузоподъёмность: 30 т, длина платформы: 9 м, ширина: 3 м",Нет,"Съёмный гусёк, гидравлические аппарели, расширители платформы, лебёдка"
Трал (низкорамный),3-осный,"Грузоподъёмность: 50 т, длина платформы: 12 м, ширина: 3 м",Нет,"Телескопическая платформа, гидравлическая подвеска, поворотные оси, лебёдка"
Трал (низкорамный),4-осный,"Грузоподъёмность: 70 т, длина платформы: 15 м, ширина: 3.5 м",Нет,"Съёмный гусёк, гидравлические аппарели, модульная конструкция, телематика"
Бульдозер (гусеничный),Малый (10 т),"Вес: 10 т, ширина отвала: 3 м, мощность: 100 л.с.",Да,"Рыхлитель, GPS-навигация, отвал прямой, кабина ROPS/FOPS"
Бульдозер (гусеничный),Средний (20 т),"Вес: 20 т, ширина отвала: 4 м, мощность: 200 л.с.",Да,"Рыхлитель, сферический отвал, GPS, климат-контроль"
Бульдозер (гусеничный),Большой (40 т),"Вес: 40 т, ширина отвала: 5 м, мощность: 400 л.с.",Да,"Многозубый рыхлитель, автоматизация, телематика, усиленная рама"
Фронтальный погрузчик,Колёсный (12 т),"Ковш: 2 м³, вес: 12 т, высота подъёма: 3 м, мощность: 150 л.с.",Нет,"Вилы, гидромолот, захват для брёвен, камера заднего вида"
Фронтальный погрузчик,Гусеничный (15 т),"Ковш: 1.5 м³, вес: 15 т, высота подъёма: 3.2 м, мощность: 180 л.с.",Да,"Грейфер, усиленный ковш, GPS, кабина ROPS/FOPS"
Мини-погрузчик,С бортовым поворотом (1 т),"Вес: 1 т, грузоподъёмность: 0.5 т, высота подъёма: 2.5 м, мощность: 50 л.с.",Нет,"Гидромолот, ковш, вилы, щётка, камера заднего вида"
Мини-погрузчик,Гусеничный (1.5 т),"Вес: 1.5 т, грузоподъёмность: 0.7 т, высота подъёма: 2.8 м, мощность: 60 л.с.",Да,"Гидромолот, грейфер, GPS, кабина с обогревом"
Асфальтоукладчик,Гусеничный (10 т),"Вес: 10 т, ширина укладки: 2.5–8 м, мощность: 150 л.с., объём бункера: 10 т",Да,"Расширители стяжки, автоматическое нивелирование, GPS, нагрев стяжки"
Асфальтоукладчик,Колёсный (8 т),"Вес: 8 т, ширина укладки: 2.5–6 м, мощность: 120 л.с., объём бункера: 8 т",Нет,"Расширители стяжки, ультразвуковые датчики, телематика, кабина с климат-контролем"
Ломовоз,Малый (5 т),"Грузоподъёмность грейфера: 5 т, объём кузова: 20 м³, длина стрелы: 8 м",Нет,"Магнитный грейфер, дистанционное управление, усиленный кузов, камера заднего вида"
Ломовоз,Средний (10 т),"Грузоподъёмность грейфера: 10 т, объём кузова: 30 м³, длина стрелы: 10 м",Нет,"Магнитный грейфер, гидравлическая лебёдка, телематика, кабина с обогревом"
Ломовоз,Большой (15 т),"Грузоподъёмность грейфера: 15 т, объём кузова: 40 м³, длина стрелы: 12 м",Нет,"Магнитный грейфер, усиленная рама, автоматизация, камера 360°"
Ямобур,Навесной (на тракторе),"Диаметр бурения: 0.2–0.8 м, глубина бурения: 2–4 м, мощность: 50–100 л.с.",Да,"Сменные буры, гидравлический привод, GPS, телескопическая стрела"
Ямобур,Автономный (гусеничный),"Диаметр бурения: 0.3–1.2 м, глубина бурения: 5–10 м, мощность: 150 л.с.",Да,"Усиленные буры, автоматическое нивелирование, телематика, кабина ROPS/FOPS"
Автовышка,Телескопическая (20 м),"Рабочая высота: 20 м, грузоподъёмность: 250 кг, вылет: 10 м",Нет,"Полный привод, генератор, поворотная платформа, дистанционное управление"
Автовышка,Шарнирная (30 м),"Рабочая высота: 30 м, грузоподъёмность: 300 кг, вылет: 15 м",Нет,"Усиленная платформа, камера 360°, телематика, кабина с климат-контролем"
Автовышка,Ножничная (12 м),"Рабочая высота: 12 м, грузоподъёмность: 500 кг, платформа: 2x1 м",Нет,"Расширяемая платформа, шины для бездорожья, AC-розетка, телематика"
Манипулятор (КМУ),5 т,"Грузоподъёмность: 5 т (вылет 2 м), стрела: 10 м, вылет: 8 м",Нет,"Грейфер, лебёдка, быстросъёмное соединение, камера заднего вида"
Манипулятор (КМУ),10 т,"Грузоподъёмность: 10 т (вылет 2 м), стрела: 15 м, вылет: 12 м",Нет,"Гусёк (4 м), захват для труб, дистанционное управление, телематика"
Эвакуатор,Платформенный (5 т),"Грузоподъёмность: 5 т, длина платформы: 5 м, мощность: 200 л.с.",Нет,"Лебёдка, гидравлическая платформа, камера заднего вида, телематика"
Эвакуатор,С краном (7 т),"Грузоподъёмность: 7 т, длина платформы: 6 м, мощность: 250 л.с.",Нет,"Гидравлический кран, усиленная рама, GPS, кабина с обогревом"
